Victim's name,Date of Incident (month/day/year),Official disposition of death (justified or other),Criminal Charges?,
Eugene N. Turner III,8/31/14,Pending investigation/No Known Charges,No known charges,
Mitch Allen Thompson,8/31/14,Justified,No known charges,
Naim Owens,8/31/14,Unreported,No known charges,
Royal Shawn Bingamen,8/31/14,Pending investigation/No Known Charges,No known charges,
George Carson,8/30/14,Pending investigation/No Known Charges,No known charges,
Jose Walter Garza,8/30/14,Justified,No known charges,
Justin Burch,8/30/14,Unreported,No known charges,
Stephen Johnston,8/30/14,Unreported,No known charges,
Enebelio Garcia,8/29/14,Unreported,No known charges,
Jayson Matthew Withers,8/29/14,,No known charges,
Jeremy Lewis,8/29/14,Unreported,No known charges,
John O'Connell,8/29/14,Unreported,No known charges,
Chaz Michael Havenor,8/28/14,Justified,No known charges,
Erik Charles Lebak,8/28/14,Pending investigation/No Known Charges,No known charges,
Guillermo Culajay Canas,8/28/14,Pending investigation/No Known Charges,No known charges,
Terry Sellars,8/28/14,Unreported,No known charges,
Freddie LeBlanc,8/27/14,Unreported,No known charges,
John Rogers,8/27/14,Unreported,No known charges,
Kerry Wesson,8/27/14,Justified,No known charges,
Mark Jeffery Sharpe,8/27/14,Pending investigation/No Known Charges,No known charges,
Sergio Ramos,8/27/14,Unreported,No known charges,
Bryce Dion,8/26/14,Pending investigation/No Known Charges,No known charges,
Cortez Washington,8/26/14,Unreported,No known charges,
Luke Baber,8/26/14,Justified,No known charges,
Roshad McIntosh,8/26/14,Pending investigation/No Known Charges,No known charges,
Desean Pittman,8/25/14,Unreported,No known charges,
Guadalupe Esquivel,8/25/14,Unreported,No known charges,
Joshua Crawford,8/25/14,Justified,No known charges,
Steven Lashone Douglas,8/25/14,Grand jury/No bill or Cleared,No known charges,
Mark Salazar,8/24/14,Pending investigation/No Known Charges,No known charges,
Randy Matheny,8/24/14,Unknown,No known charges,
Stephen Andrew McMilon,8/24/14,Unreported,No known charges,
Timothy Shad Griffis,8/24/14,Unreported,No known charges,
Anthony Lamar Brown,8/23/14,Unreported,No known charges,
Hernan Milton Ossorio,8/23/14,Unreported,No known charges,
Joseph Jennings,8/23/14,Pending investigation/No Known Charges,No known charges,
Mauricio Herrera-Garcia,8/23/14,Unreported,No known charges,
Raymond Villarreal,8/23/14,Unreported,No known charges,
Alex Alvarado,8/22/14,Justified by District Attorney,No known charges,
Vernicia Woodard,8/22/14,"Charged, Convicted of felony murder, Sentenced to life without parole, plus 16 years","Charged, Convicted, Sentenced to life in prison without parole, plus 16 years",
Arvel Douglas Williams,8/20/14,Unreported,No known charges,
Darren Friedman,8/20/14,Unreported,No known charges,
Jacob A. Navarre,8/20/14,Unreported,No known charges,
Chad A. Leichhardt,8/19/14,Unknown,No known charges,
Darius Colegarrit,8/19/14,Unreported,No known charges,
David Ellis,8/19/14,Pending investigation/No Known Charges,No known charges,
Kajieme Powell,8/19/14,Unknown,No known charges,
Maria Fernanda Godinez,8/19/14,Justified,No known charges,
Miranda Michelle Guy,8/19/14,Unreported,No known charges,
Andre Maurice Jones,8/18/14,Unreported,No known charges,
Jeffrey Towe,8/18/14,Justified,No known charges,
Luther Lathron Walker,8/18/14,Unreported,No known charges,
Levon Leroy Love,8/17/14,Pending investigation/No Known Charges,No known charges,
Steven R. Piirainen,8/17/14,Unreported,No known charges,
Frederick R. Miller,8/16/14,Unreported,No known charges,
Travis Donald Wegener,8/15/14,Unreported,No known charges,
Diana Showman,8/14/14,Unreported,No known charges,
Michelle Cusseaux,8/14/14,Pending investigation/No Known Charges,No known charges,
Sonny Wagner,8/14/14,Unknown,No known charges,
Alvin Curtis Jennings,8/13/14,Unknown,No known charges,
Corey Levert Tanner,8/13/14,Unreported,No known charges,
Jacinto Zavala,8/13/14,Unreported,No known charges,
Michael Louis Vargas,8/13/14,Pending investigation,No known charges,
Reagan Lee Jones,8/13/14,Pending investigation/No Known Charges,No known charges,
Ruben Lujano,8/13/14,Accidental,No known charges,
Dante Parker,8/12/14,Unreported,No known charges,
Gabriel Lopez-Gonzalez,8/12/14,Pending investigation/No Known Charges,No known charges,
Jordan Keith Willis,8/12/14,Unreported,No known charges,
Rick Ronald Pifer,8/12/14,Justified,No known charges,
Andrew Scott Gaynier,8/11/14,Unknown,No known charges,
Dustin Keith Glover,8/11/14,Pending investigation/No Known Charges,No known charges,
Eddie Davis,8/11/14,Unknown,No known charges,
Ezell Ford,8/11/14,Justified by District Attorney,No known charges,
Jose Manuel Gonzalez,8/11/14,Grand jury/No bill or Cleared,No known charges,
Melvin Leblanc,8/11/14,Unreported,No known charges,
Torrez Harris,8/11/14,Unreported,No known charges,
Daniel Brennan,8/10/14,Unreported,No known charges,
Pammi Mroczek,8/10/14,Unreported,No known charges,
"Tyrone ""Ty"" Bandy",8/10/14,Pending investigation/No Known Charges,No known charges,
Alberto Cornelio Morales,8/9/14,Unreported,No known charges,
Dillon Taylor,8/9/14,Pending investigation/No Known Charges,No known charges,
Joseph Penderghest,8/9/14,Unreported,No known charges,
Justin Wayne Higgins,8/9/14,Unreported,No known charges,
Malcoln Franklin,8/9/14,Justified,No known charges,
Michael Brown,8/9/14,Justified,No known charges,
Austin David Uncles,8/8/14,Justified,No known charges,
Jose Paulino Jr,8/8/14,Pending investigation/No Known Charges,No known charges,
Name withheld by police,8/8/14,Unreported,No known charges,
Regan Marshall Wagner,8/8/14,Grand jury/No bill or Cleared,No known charges,
Jose M. Reyes-Torres,8/7/14,Unreported,No known charges,
James Pickard Jr.,8/6/14,Unreported,No known charges,
Michael Laray Dozer,8/6/14,Unreported,No known charges,
Aaron Lepak,8/5/14,Unreported,No known charges,
Cedric Stanley,8/5/14,Unreported,No known charges,
Daniel Row,8/5/14,Unreported,No known charges,
Dennis Dean Morrell,8/5/14,Unreported,No known charges,
Jeremey Lake,8/5/14,"Charged, Convicted of misdemeanor reckless conduct with a firearm, Sentenced to 1 year in prison","Charged, Convicted, Sentenced to 1 year in prison",
John H. Crawford III,8/5/14,Civil suit/Family awarded money,No known charges,
Manuel Flores,8/4/14,Unreported,No known charges,
Jacorey Calhoun,8/3/14,Unreported,No known charges,
Lewis Conlogue,8/3/14,Unreported,No known charges,
Maria Rodriguez,8/3/14,Unreported,No known charges,
Ryan James Swearingen,8/3/14,Unreported,No known charges,
Vincent Lee Heims,8/3/14,Unreported,No known charges,
Yee Vang,8/3/14,Unreported,No known charges,
Cedric Oscar Ramirez,8/2/14,Unreported,No known charges,
Justin Armstrong,8/2/14,Unreported,No known charges,
Mark L. Lanza,8/2/14,Unreported,No known charges,
Omar Abrego,8/2/14,Pending investigation/No Known Charges,No known charges,
Steve Matthew Doll,8/2/14,Unreported,No known charges,
Anthony Callaway,8/1/14,Unreported,No known charges,
Daniel Pierre,8/1/14,Unreported,No known charges,
Frank Mendoza,8/1/14,Unreported,No known charges,
Name withheld by police,8/1/14,Unreported,No known charges,
Donn Eastman,7/31/14,Unreported,No known charges,
Andrew J. Michaelis,7/30/14,Unreported,No known charges,
David A. Mendoza,7/30/14,Justified,No known charges,
Larry Andrew Flynn,7/30/14,Unknown,No known charges,
Richard Lee Nelson,7/30/14,Pending investigation/No Known Charges,No known charges,
Brad D. Jensen,7/29/14,Unreported,No known charges,
Cody David Winters,7/29/14,Unreported,No known charges,
Emilio Solis,7/29/14,Grand jury/No bill or Cleared,No known charges,
Jesse Vigil,7/29/14,Unreported,No known charges,
Josh A. Edwards,7/29/14,Unreported,No known charges,
Justin Phillip Steele,7/29/14,Unreported,No known charges,
Charles Mozdir,7/28/14,Unreported,No known charges,
Patrick Small,7/28/14,Unreported,No known charges,
Steven Isby,7/28/14,Unreported,No known charges,
Charles Alver Jones Jr.,7/27/14,Unreported,No known charges,
Ronald Carden,7/27/14,Unreported,No known charges,
John Wrana,7/26/14,"Charged, Acquitted","Charged, Acquitted",
Robert Henderson,7/26/14,Unreported,No known charges,
Luis Jobel,7/25/14,Unreported,No known charges,
Nicholas Lister,7/25/14,Justified,No known charges,
Lori Knowles,7/24/14,Unreported,No known charges,
David Newmeyer,7/23/14,Unreported,No known charges,
Harrison Carter,7/23/14,Unreported,No known charges,
Briatay McDuffie,7/22/14,Unreported,No known charges,
Charles Leon Johnson II,7/22/14,Pending investigation/No Known Charges,No known charges,
Jay Donald Stankovitch,7/22/14,Unreported,No known charges,
Jeremy Robertson,7/22/14,Unreported,No known charges,
Joaquin Cibrian,7/22/14,Unreported,No known charges,
Vamond Arqui Elmore,7/22/14,Justified,No known charges,
Donovan Bayton,7/21/14,Unreported,No known charges,
Jeffrey Carter McMillan,7/20/14,"Charged, Convicted of murder","Charged, Convicted",
Richard Duncalf,7/20/14,Unreported,No known charges,
Francisco Rocha,7/19/14,Unreported,No known charges,
Cadence Harris,7/18/14,Unreported,No known charges,
Jonathan L. Williams,7/18/14,Unreported,No known charges,
Kenneth Johnson,7/18/14,Unreported,No known charges,
Allen Jay Foste,7/17/14,Pending investigation/No Known Charges,No known charges,
Andre Milton,7/17/14,Unreported,No known charges,
Eric Garner,7/17/14,Justified,No known charges,
Glenn Ray Glancey,7/17/14,Unreported,No known charges,
Alex Gregory Martinez,7/16/14,Unreported,No known charges,
Dominique Charon Lewis,7/16/14,Unreported,No known charges,
Gilbert Renteria Jr.,7/16/14,Unreported,No known charges,
Misty Holt-Singh,7/16/14,Pending investigation/No Known Charges,No known charges,
Justin Neil Davis,7/15/14,Unreported,No known charges,
Armando Noah Aleman,7/14/14,Unreported,No known charges,
Michael Reams,7/14/14,Unreported,No known charges,
Timothy Mitchell,7/14/14,Justified,No known charges,
Adrian Eugene King,7/13/14,Unreported,No known charges,
David Brandstetter,7/13/14,Justified,No known charges,
Edward Lee Farlow,7/13/14,Unreported,No known charges,
Ja Ma Lo Day,7/13/14,Unreported,No known charges,
Lawrence Campbell,7/13/14,Justified,No known charges,
Coty Champagne,7/12/14,Unreported,No known charges,
Harold F. Roudebush,7/12/14,Unreported,No known charges,
Valerie Abbott Harrington,7/12/14,Unreported,No known charges,
Ira James Arquette,7/11/14,Pending investigation/No Known Charges,No known charges,
James E. Hamm,7/11/14,Justified,No known charges,
Joseph K. Greer,7/11/14,Justified,No known charges,
Frank Alvarado,7/10/14,Pending investigation/No Known Charges,No known charges,
Tyshawn Hancock,7/10/14,Pending investigation/No Known Charges,No known charges,
Charles K. Goodridge,7/9/14,Grand jury/No bill or Cleared,No known charges,
Christopher Alexander Stone,7/9/14,Unreported,No known charges,
Luis Monroig,7/9/14,Found Excusable,No known charges,
Richard Robert Howard,7/9/14,Unreported,No known charges,
Stephen S. Minch,7/9/14,Unreported,No known charges,
Jeanetta Marie Riley,7/8/14,Justified,No known charges,
Shane Lucan Griffin,7/7/14,Unreported,No known charges,
James McKinney,7/6/14,Unreported,No known charges,
Rajko Utvic,7/6/14,Unknown,No known charges,
Christopher Jones,7/5/14,Unreported,No known charges,
Marilyn Denise Boyd,7/5/14,Justified,No known charges,
Nicholas Popplewell,7/5/14,Unreported,No known charges,
Warren Robinson,7/5/14,Unreported,No known charges,
Icarus Randolph,7/4/14,Unknown,No known charges,
Pedro Rios Jr.,7/4/14,Unknown,No known charges,
Lewis L. Williams,7/3/14,Unreported,No known charges,
Richard Arruda,7/3/14,Unreported,No known charges,
Ryan Ronquillo,7/3/14,Unknown,No known charges,
Anthony Jacob Chavez,7/2/14,Unreported,No known charges,
Joseph Valverde,7/2/14,Justified,No known charges,
Michael Jones Keys Sr.,7/1/14,Unreported,No known charges,
Austin J. Derby,7/1/14,Unreported,No known charges,
Jerry Brown,7/1/14,Justified,No known charges,
Oscar Perez Giron,6/30/14,Justified,No known charges,
John Omar DelValle,6/29/14,Unreported,No known charges,
Paul M. Edmundson,6/29/14,Unreported,No known charges,
Aaron Wright,6/27/14,Justified,No known charges,
Andres Morales,6/27/14,Pending investigation/No Known Charges,No known charges,
Michael Huffman,6/27/14,Unreported,No known charges,
Nyocomus Garnett,6/27/14,Unreported,No known charges,
Paul Ray Kemp Jr.,6/27/14,Pending investigation/No Known Charges,No known charges,
David J. Kingsbury,6/26/14,Unreported,No known charges,
Dominic Graffeo,6/26/14,Pending investigation/No Known Charges,No known charges,
Michael Berry,6/26/14,Grand jury/No bill or Cleared,No known charges,
Rodney Hodge,6/26/14,Unreported,No known charges,
Dennis Hicks,6/25/14,Unreported,No known charges,
James Jaimez,6/25/14,Unreported,No known charges,
Mimi Goldberg,6/25/14,Unreported,No known charges,
Samuel Johnson,6/25/14,Unreported,No known charges,
Antoine Dominique Hunter,6/24/14,Unreported,No known charges,
Lavon King,6/24/14,Unreported,No known charges,
Stanley Leger,6/24/14,Justified,No known charges,
Juan May,6/22/14,Pending investigation/No Known Charges,No known charges,
Ray Junior Barber,6/22/14,Pending investigation/No Known Charges,No known charges,
Douglas M. Seaton,6/21/14,Unreported,No known charges,
James Moala Kofu,6/21/14,Unknown,No known charges,
John Kapeluch,6/21/14,Pending investigation/No Known Charges,No known charges,
Jose Cardenas Beltran,6/21/14,Unknown,No known charges,
Timothy Ray Bowling,6/21/14,Justified,No known charges,
Denzel Curnell,6/20/14,Unreported,No known charges,
Ernest Wayne Rials,6/20/14,Unreported,No known charges,
Ismael Sadiq,6/20/14,Unknown,No known charges,
Jason T. Van Buskirk,6/20/14,Grand jury/No bill or Cleared,No known charges,
Name withheld by police,6/20/14,Unreported,No known charges,
Ray Dakota Scholfield,6/20/14,Unreported,No known charges,
Carlos Hernandez,6/19/14,Grand jury/No bill or Cleared,No known charges,
Darrell Haymon,6/19/14,Unreported,No known charges,
Jason Carulla,6/19/14,Pending investigation/No Known Charges,No known charges,
Paul Westbrook,6/19/14,Unreported,No known charges,
Thomas D. Rogers,6/19/14,Justified,No known charges,
William Lee Workman Jr.,6/19/14,Justified,No known charges,
Devaron Ricardo Wilburn,6/18/14,Unreported,No known charges,
John Schneider,6/16/14,Unreported,No known charges,
Joshua Stand,6/16/14,Justified,No known charges,
Anthony Skyles Jr.,6/15/14,Unreported,No known charges,
Eric Harris,6/15/14,Pending investigation/No Known Charges,No known charges,
Gregory Johnson,6/15/14,Pending investigation/No Known Charges,No known charges,
Jonathan K. Whitehead,6/15/14,Unreported,No known charges,
Jason A. Moore,6/14/14,Unreported,No known charges,
Jason Harrison,6/14/14,Grand jury/No bill or Cleared,No known charges,
Victor Hernandez,6/14/14,Justified,No known charges,
Anthony Gustave Nelson,6/13/14,Unknown,No known charges,
Frank Rhodes,6/13/14,Unreported,No known charges,
Joe Hernandez,6/13/14,Unreported,No known charges,
Larry Jerrils,6/12/14,Justified,No known charges,
Nicholas Glendon Davis,6/12/14,Justified,No known charges,
Timothy Hill,6/12/14,Justified,No known charges,
Travis Utley,6/12/14,Unreported,No known charges,
Miguel Moreno Torrez,6/11/14,Unreported,No known charges,
Ryan Marone,6/11/14,Unreported,No known charges,
Steven Kellog Neuroth,6/11/14,,No known charges,
Broderick Johnson,6/10/14,Unreported,No known charges,
Earl Cranston Harris,6/10/14,Unreported,No known charges,
John Thomas,6/10/14,Justified,No known charges,
Michael V. Gutierrez,6/10/14,Unreported,No known charges,
John D. Tilley,6/9/14,Unknown,No known charges,
Roc Eugene LaRue,6/9/14,Unreported,No known charges,
Roylee Vell Dixon,6/9/14,Unreported,No known charges,
Troy Kirkpatrick,6/9/14,Pending investigation/No Known Charges,No known charges,
Emanuel Jean-Baptiste,6/8/14,Unreported,No known charges,
Jerad Miller,6/8/14,Justified,No known charges,
Victor Villalpando,6/8/14,Justified,No known charges,
Angela Beatrice Randolph,6/7/14,Unreported,No known charges,
Daniel Best,6/7/14,Unreported,No known charges,
Lonnie Flemming,6/7/14,Unreported,No known charges,
David Latham,6/6/14,"Charged with manslaughter, Acquitted","Charged, Acquitted",
Dennis Ronald Marx,6/6/14,Justified,No known charges,
Kristopher Barkus,6/6/14,Justified,No known charges,
Paul Alan L'Herault,6/6/14,Pending investigation/No Known Charges,No known charges,
Thomas L. White,6/6/14,Unknown,No known charges,
Glen Griggs,6/5/14,Unreported,No known charges,
Steven Jerold Thompson,6/5/14,Pending investigation/No Known Charges,No known charges,
Harold Murphy,6/4/14,Unreported,No known charges,
Kristopher Chase Simmons,6/4/14,Pending investigation/No Known Charges,No known charges,
Lawrence H. Faine,6/4/14,Justified,No known charges,
Thomas Dewitt Johnson,6/4/14,Justified,No known charges,
Timothy Ronald Lloyd,6/4/14,Unreported,No known charges,
Yanira Serrano-Garcia,6/3/14,Unknown,No known charges,
Deborah A. McCollum,6/2/14,Unreported,No known charges,
Drew Marian Spencer,6/2/14,Unreported,No known charges,
Frank McQueen,6/2/14,Unreported,No known charges,
Jordan Franklin Browder,6/2/14,Unreported,No known charges,
Michael Kleinbeck,6/1/14,Unreported,No known charges,
Douglas DaMoude,5/31/14,Grand jury/No bill or Cleared,No known charges,
Etoine Baucum,5/31/14,Justified,No known charges,
Sandy James McCall,5/31/14,Unreported,No known charges,
Tayler Rock,5/31/14,Unknown,No known charges,
Brandon Lee Macias Jimenez,5/30/14,Pending investigation/No Known Charges,No known charges,
Brian Scott Hiatt,5/30/14,Unreported,No known charges,
Danny Michael Wadsworth Jr.,5/30/14,Unreported,No known charges,
James Andrew Brown II,5/30/14,Unreported,No known charges,
Jose Luis Arambula,5/30/14,Unreported,No known charges,
Larry Smith,5/30/14,Unreported,No known charges,
Mark Anthony Blocker,5/30/14,Unreported,No known charges,
Quintico Goolsby,5/30/14,Unreported,No known charges,
Duane Erick Strong,5/29/14,Justified,No known charges,
Gerrit D. Vos,5/29/14,Pending investigation/No Known Charges,No known charges,
Jose Valerio,5/29/14,Justified,No known charges,
Ransom Duane McCoy,5/29/14,Justified,No known charges,
Jeremy Vann,5/28/14,Unreported,No known charges,
Ricky Lee Higgins,5/28/14,Unreported,No known charges,
Albert Robert Clayburn,5/27/14,Justified,No known charges,
Jason Westcott,5/27/14,Justified,No known charges,
Noel Enrique Aguilar,5/26/14,Unreported,No known charges,
Terry Heath,5/26/14,Unreported,No known charges,
Isaac Sims,5/25/14,Unreported,No known charges,
Montez Dewayne Hambric,5/25/14,Justified,No known charges,
Carlos Ocana,5/24/14,Unreported,No known charges,
Christian Sierra,5/24/14,Justified by Commonwealth's Attorney,No known charges,
Frank Sidney Smody,5/24/14,Pending investigation/No Known Charges,No known charges,
Henry Curtis,5/24/14,Unreported,No known charges,
Michael Myers,5/24/14,Unreported,No known charges,
Shiquan M. Krouser,5/24/14,Unreported,No known charges,
Jason Wilson,5/23/14,Pending investigation/No Known Charges,No known charges,
Joshua Marshall Foskey,5/22/14,Justified,No known charges,
Ralph Chavez,5/22/14,Unknown,No known charges,
Jermassioun Viondrey Rodgers,5/21/14,Pending investigation/No Known Charges,No known charges,
Raymond Eugene Garcia,5/21/14,Justified,No known charges,
Robert Michael Duncklee,5/21/14,Pending investigation/No Known Charges,No known charges,
Carlos Mejia,5/20/14,Pending investigation/No Known Charges,No known charges,
Martin Figueroa,5/20/14,Unreported,No known charges,
Tiffany Morton,5/20/14,Unreported,No known charges,
Curtis E. Welford,5/19/14,Pending investigation/No Known Charges,No known charges,
Kenneth Shawn Todd,5/19/14,Unreported,No known charges,
Luis Arturo Hernandez Jr.,5/19/14,Unreported,No known charges,
Osbourne Broadie,5/19/14,Unreported,No known charges,
Robert Sharp,5/19/14,Unreported,No known charges,
Ashley DiPiazza,5/18/14,Unreported,No known charges,
Cory Lee Bush,5/18/14,Unreported,No known charges,
Juvon Allen,5/18/14,Unreported,No known charges,
Sheila Vawter,5/18/14,Unreported,No known charges,
Thomas N. Saunders,5/18/14,Pending investigation/No Known Charges,No known charges,
Charles Jameson,5/17/14,Unreported,No known charges,
Danny Christian Molina,5/17/14,Pending investigation/No Known Charges,No known charges,
Bruce Robinson,5/16/14,Pending investigation/No Known Charges,No known charges,
Charles D. Broadway Jr.,5/16/14,Pending investigation/No Known Charges,No known charges,
Joseph Lambert Livers III,5/16/14,Pending investigation/No Known Charges,No known charges,
Justin Sean Tucker,5/16/14,Unreported,No known charges,
Scott Kato,5/16/14,Pending investigation/No Known Charges,No known charges,
Nicolas Foster,5/15/14,Unreported,No known charges,
Patrick Gerome Tillery,5/15/14,Unreported,No known charges,
Valeri Hawkins,5/15/14,Pending investigation/No Known Charges,No known charges,
Joshua Powell,5/14/14,Unreported,No known charges,
David James Barclay,5/13/14,Unreported,No known charges,
Tracey Liniger,5/13/14,Justified,No known charges,
James Renee White Jr.,5/12/14,Unreported,No known charges,
Michael Clayton McNeil,5/12/14,Unreported,No known charges,
Tommy Jackson,5/12/14,Justified,No known charges,
Gary Smith,5/11/14,Unreported,No known charges,
Ron Hillstrom,5/11/14,Justified,No known charges,
Tommy J. Yancy Jr.,5/11/14,Unreported,No known charges,
Victor Luis Arenas,5/11/14,Unreported,No known charges,
Jonathan Lee Asuzu,5/10/14,Pending investigation/No Known Charges,No known charges,
Jose Raul Herrera,5/10/14,Pending investigation/No Known Charges,No known charges,
Joseph Givens,5/10/14,Unreported,No known charges,
Neil Wayne Saylor,5/10/14,Unreported,No known charges,
Shane Gumm,5/10/14,Unreported,No known charges,
Devante Kyshon Hinds,5/9/14,Unreported,No known charges,
Jacklynn Rashaun Ford,5/9/14,Justified,No known charges,
Osman Hernandez,5/9/14,Justified,No known charges,
Arcenio Lujan,5/8/14,Justified,No known charges,
Howard Wallace Bowe Jr.,5/8/14,Pending investigation/No Known Charges,No known charges,
"James ""Jim"" Palmer",5/8/14,Unreported,No known charges,
Jose Rodriquez-Moncada,5/8/14,Unknown,No known charges,
Steven Travis Goble,5/8/14,,No known charges,
Thomas Ornelas,5/8/14,Unreported,No known charges,
Arnesto Ramos,5/7/14,Unreported,No known charges,
Dominique Franklin Jr.,5/7/14,Pending investigation/No Known Charges,No known charges,
George V. King,5/7/14,Pending investigation/No Known Charges,No known charges,
Cheyne Russell Pinkney,5/6/14,Justified,No known charges,
Christopher George Louk,5/6/14,Pending investigation/No Known Charges,No known charges,
Perlie Golden,5/6/14,Unreported,No known charges,
Jerry Wilson Jr.,5/5/14,Unreported,No known charges,
Justin Griffin,5/5/14,"Charged, Convicted of felony murder, Sentenced to life in prison","Charged, Convicted, Sentenced to life in prison",
Jonathan Swindle,5/4/14,Justified,No known charges,
Oscar Herrera,5/4/14,Unreported,No known charges,
Steven Goble,5/4/14,Justified,No known charges,
Armand Martin,5/3/14,Unknown,No known charges,
Brandon Daniel Peters,5/2/14,Unreported,No known charges,
Eddie Macon Jr.,5/2/14,Justified,No known charges,
Londrell E. Johnson,5/2/14,Justified,No known charges,
Dean A. Caccamo,5/1/14,Justified,No known charges,
Dontre Hamilton,4/30/14,Unknown,No known charges,
Michael Conley,4/30/14,Justified,No known charges,
Amber Noelle Smith,4/29/14,Unreported,No known charges,
Daniel Ibarra,4/29/14,Pending investigation/No Known Charges,No known charges,
Dion Julius Brown,4/29/14,Justified,No known charges,
Herbert Earl Green,4/29/14,Unreported,No known charges,
Jeremy Arnold,4/29/14,Pending investigation/No Known Charges,No known charges,
Name withheld by police,4/29/14,Unreported,No known charges,
Tere David King,4/28/14,Justified,No known charges,
Victor Coleman,4/28/14,Justified by District Attorney,No known charges,
Jason Conoscenti,4/27/14,Unreported,No known charges,
Kandice M. Honiker,4/26/14,Justified,No known charges,
Samantha Ramsey,4/26/14,Unreported,No known charges,
Emmanuel Wooten,4/25/14,Unreported,No known charges,
Joe Huff,4/25/14,Unreported,No known charges,
Salvador Palencia-Cruz,4/25/14,Unreported,No known charges,
Tyrone Davis,4/25/14,Unreported,No known charges,
Ingrid Mayer,4/24/14,Unreported,No known charges,
Elijah Waltman,4/23/14,Justified,No known charges,
James Ransom,4/23/14,Pending investigation/No Known Charges,No known charges,
Jesus Chacon,4/23/14,Unreported,No known charges,
Darrell Joseph Legnon,4/22/14,Unreported,No known charges,
Donald Letterle,4/22/14,Pending investigation/No Known Charges,No known charges,
Frank Charles Johnston,4/22/14,Unreported,No known charges,
Adrian Williams,4/21/14,Justified,No known charges,
Mary Hawkes,4/21/14,Pending investigation/No Known Charges,No known charges,
Michael Mayo,4/21/14,Unreported,No known charges,
Mickey Larragoitiy,4/21/14,Unreported,No known charges,
Siale Angilau,4/21/14,Pending investigation/No Known Charges,No known charges,
Warren Gary Cook,4/21/14,Justified,No known charges,
Brandon Leonel Monroy,4/20/14,Unreported,No known charges,
Lee Redoux,4/20/14,Unreported,No known charges,
Veronica Rizzo-Acevedo,4/20/14,Pending investigation/No Known Charges,No known charges,
Karina Sandoval-Jiminez,4/19/14,Unreported,No known charges,
Name withheld by police,4/19/14,Unreported,No known charges,
Adrian Parra,4/18/14,Unreported,No known charges,
James Kubera,4/17/14,Unreported,No known charges,
Kimberlee Carmack,4/17/14,Unreported,No known charges,
Leighton C. Fitz,4/17/14,Unreported,No known charges,
Santiago Avila,4/17/14,Unreported,No known charges,
Claudell Webb Jr.,4/16/14,Unreported,No known charges,
Jason Lewis,4/16/14,Pending investigation/No Known Charges,No known charges,
Martin G. Brown,4/16/14,Unreported,No known charges,
Ottis Eugene Bass,4/16/14,Justified,No known charges,
Michael C. Nichols Jr.,4/15/14,Pending investigation/No Known Charges,No known charges,
Richard Ramirez,4/14/14,Pending investigation/No Known Charges,No known charges,
Ross Chrisman,4/14/14,Unreported,No known charges,
"William Peyton ""Billy"" Ayers",4/14/14,Unreported,No known charges,
Charles A. Brown IV,4/13/14,Pending investigation/No Known Charges,No known charges,
Deborah Colbert,4/13/14,Unreported,No known charges,
"Eddie ""Dougie"" Phongsavad",4/13/14,Unreported,No known charges,
Edward Michael Caruth,4/13/14,Unreported,No known charges,
Jose Maldonado,4/13/14,Justified by State's Attorney,No known charges,
Lauro Jesus Avechuco,4/13/14,Justified,No known charges,
Maynard Paul Thomas,4/13/14,Justified,No known charges,
Vincent John Farrand,4/13/14,Unreported,No known charges,
Gary Burdine,4/12/14,Justified,No known charges,
Jack Calvello,4/12/14,Pending investigation/No Known Charges,No known charges,
Rolando H. Villanueva,4/12/14,Pending investigation/No Known Charges,No known charges,
Stephen McKenney,4/12/14,Justified,No known charges,
Dennis Doty,4/11/14,Justified,No known charges,
Gregory Lewis Towns Jr,4/11/14,"Charged with murder and involuntary manslaughter, Convicted, Sentenced to Life in Prison","Charged, Convicted, Sentenced to Life in Prison",
Jameel Kareem Ofurum Harrison,4/11/14,Justified,No known charges,
Jefferson Duncan,4/11/14,Unreported,No known charges,
Thomas Eugene Fillingim,4/11/14,Unreported,No known charges,
David M. Zehring,4/10/14,Unreported,No known charges,
John Winkler,4/10/14,Unreported,No known charges,
Robert James Vancamp,4/10/14,Unreported,No known charges,
Ever Ramon Martinez,4/9/14,Unreported,No known charges,
Abbott S. Bennett,4/8/14,Unreported,No known charges,
James Calvin Youngblood,4/8/14,Unreported,No known charges,
Travis Doering,4/8/14,Unreported,No known charges,
Daniel Christoph Yealu,4/7/14,Unreported,No known charges,
Daniel Pedroza,4/7/14,Unreported,No known charges,
Hector Hernandez,4/7/14,Pending investigation/No Known Charges,No known charges,
John Nightingale,4/7/14,Justified,No known charges,
Tinoris Williams,4/7/14,Justified,No known charges,
Isaac Little,4/6/14,Unreported,No known charges,
Wesley Mallory White,4/6/14,Unreported,No known charges,
Remis M. Andrews,4/5/14,Unknown,No known charges,
Robert Antonio Jones,4/5/14,Unreported,No known charges,
Codi Ben Bullard,4/4/14,Unreported,No known charges,
Jairo Armando Pedraza,4/4/14,Unreported,No known charges,
Michael J. Santiago,4/4/14,Unknown,No known charges,
William Arthur Stogner Jr.,4/4/14,Unreported,No known charges,
Cody Spafford,4/3/14,Unreported,No known charges,
"Stanley ""Laransie"" Whitman",4/3/14,Unreported,No known charges,
Marcus Garner,4/2/14,Unreported,No known charges,
Matthew Troy Pollow,4/2/14,Unreported,No known charges,
James Clark,3/31/14,Unreported,No known charges,
